NLC,TLC,Station Name,Region,Local Authority,Constituency,OS Grid Easting,OS Grid Northing,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,SRS Code,SRS Description,NR Route,CRP Line Designation,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1617 Entries & Exits,1516 Entries & Exits,1617 Interchanges,Large station change flag,Small station change flag,Explanation of large change,Source for explanation of large change
6905,HWC,Harwich Town,East,Tendring,Harwich and North Essex,625987,232397,Greater Anglia,,,,D.15,Harwich Branch,Anglia,,20268,49900,64446,134614,135396,,,,,
5633,HSL,Haslemere,South East,Waverley,South West Surrey,489802,132928,South West Trains,,,,C.06,Woking - Portsmouth,Wessex,,297862,549770,956732,1804364,1804054,105633.8082,,,,
5489,HSK,Hassocks,South East,Mid Sussex,Arundel and South Downs,530404,115543,Govia Thameslink Railway,,,,B.02,Windmill Bridge Jcn - Brighton,South East,,162782,386710,739742,1289234,1390390,,,,,
5219,HGS,Hastings,South East,Hastings,Hastings and Rye,581450,109650,Southeastern,,,,A.13,Hastings - Ashford,South East,,244212,1036694,749800,2030706,2314280,26556.9343,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
1398,HTE,Hatch End,London,Harrow (London),"Ruislip, Northwood and Pinner",513065,191325,London Overground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,,173946,443068,95232,712246,707454,,,,,
6070,HAT,Hatfield,East,Welwyn Hatfield,Welwyn Hatfield,523240,208750,Govia Thameslink Railway,,,,G.01,Kings Cross - Peterborough,London North East and East Midlands,,707868,984460,684998,2377326,2347918,,,,,
6845,HAP,Hatfield Peverel,East,Braintree,Witham,578910,212200,Greater Anglia,,,,D.11,Shenfield - Ipswich,Anglia,,46030,64666,300878,411574,412530,,,,,
5532,HAV,Havant,South East,Havant,Havant,471781,106595,South West Trains,,,,C.06,Woking - Portsmouth,Wessex,,561390,945684,726702,2233776,2375640,300290.0607,,,,
5289,HYR,Haydons Road,London,Merton (London),Wimbledon,526020,171160,Govia Thameslink Railway,,,London Travelcard Area Station,B.08,South Central Sutton Lines,South East,,97274,77628,169378,344280,400248,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
3186,HAY,Hayes & Harlington,London,Hillingdon (London),Hayes and Harlington,509714,179422,Great Western Railway,,,London Travelcard Area Station,K.03,Plymouth - Penzance,Western,,1005422,1290498,1548624,3844544,3954626,50376.569,,,,
5050,HYS,Hayes (Kent),London,Bromley (London),Beckenham,540030,166060,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,305824,273734,586940,1166498,1127296,,,,,
5490,HHE,Haywards Heath,South East,Mid Sussex,Mid Sussex,533045,124630,Govia Thameslink Railway,,,,B.02,Windmill Bridge Jcn - Brighton,South East,,587246,1346486,2268806,4202538,4491760,551463.1557,,,,
5220,HCN,Headcorn,South East,Maidstone,Faversham and Mid Kent,583800,144000,Southeastern,,,,A.14,Tonbridge - Continental Jcn,South East,,80510,207184,321426,609120,610298,,,,,
1434,HDL,Headstone Lane,London,Harrow (London),Harrow West,513870,190590,London Overground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,,122722,248264,105520,476506,473014,,,,,
5893,HDE,Hedge End,South East,Eastleigh,Eastleigh,449674,115000,South West Trains,,,,C.11,Cosham - St Denys / Eastleigh,Wessex,,132406,163352,216094,511852,508982,,,,,
1391,HML,Hemel Hempstead,East,Dacorum,Hemel Hempstead,504300,205925,London Midland Trains,,,,N.01,Euston - Rugby,London North Western,,580798,789084,620194,1990076,1980704,31909.345,,,,
1522,HEN,Hendon,London,Barnet (London),Hendon,522140,188270,Govia Thameslink Railway,,,London Travelcard Area Station,I.01,St Pancras - Bedford,London North East and East Midlands,,241530,300850,584780,1127160,1178328,,,,,
3146,HOT,Henley-On-Thames,South East,South Oxfordshire,Henley,476380,182270,Great Western Railway,,,,J.12,Henley-on-Thames Branch,Western,,160898,350684,284408,795990,776282,,,,,
5174,HNB,Herne Bay,South East,Canterbury,North Thanet,617130,167450,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,96230,252748,606826,955804,931154,,,,,
5066,HNH,Herne Hill,London,Lambeth (London),Dulwich and West Norwood,531955,174410,Southeastern,,,London Travelcard Area Station,A.01,Victoria Lines,South East,,729806,900872,1242314,2872992,2971220,1654798.789,,,,
5590,HER,Hersham,South East,Elmbridge,Esher and Walton,512155,165425,South West Trains,,,,C.01,Waterloo - Woking,Wessex,,209860,161194,477438,848492,845710,,,,,
6818,HFE,Hertford East,East,East Hertfordshire,Hertford and Stortford,532980,212910,Greater Anglia,HERTFORD BR,,,D.03,Hertford East Branch,Anglia,,218559.8788,267494.6092,449416.3123,935470.8003,880042.087,,,,,
6085,HFN,Hertford North,East,East Hertfordshire,Hertford and Stortford,531681,212856,Govia Thameslink Railway,HERTFORD BR,,,G.03,Hertford Loop,London North East and East Midlands,,377618.1212,462165.3908,776481.6877,1616265.2,1520497.913,5554.908,,,,
5417,HEV,Hever,South East,Sevenoaks,Tonbridge and Malling,546530,144550,Govia Thameslink Railway,,,,B.10,Hurst Green - Uckfield,South East,,5376,20136,10288,35800,40026,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
3194,HYD,Heyford,South East,Cherwell,Banbury,448290,224750,Great Western Railway,,,,M.11,Oxford  - Coventry,London North Western,,9252,14508,14850,38610,41276,,,,,
5235,HIB,High Brooms,South East,Tunbridge Wells,Tunbridge Wells,559378,141370,Southeastern,,,,A.06,Tonbridge - Hastings,South East,,224028,376780,625976,1226784,1209496,,,,,
3054,HWY,High Wycombe,South East,Wycombe,Wycombe,486935,193053,Chiltern Railways,,,,M.01,Marylebone - Aynho Jcn,London North Western,,794338,993806,1121460,2909604,2813076,88502.1896,,,,
5202,HGM,Higham,South East,Gravesham,Gravesham,571556,172613,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,31064,44268,118894,194226,186956,,,,,
6919,HIP,Highams Park,London,Waltham Forest (London),Chingford and Woodford Green,538575,191840,London Overground,,,London Travelcard Area Station,D.04,Chingford Branch,Anglia,,664822,772840,920552,2358214,2116016,,1,,,
