NLC,TLC,Station Name,Region,Local Authority,Constituency,OS Grid Easting,OS Grid Northing,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,SRS Code,SRS Description,NR Route,CRP Line Designation,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1617 Entries & Exits,1516 Entries & Exits,1617 Interchanges,Large station change flag,Small station change flag,Explanation of large change,Source for explanation of large change
7329,WRN,West Runton,East,North Norfolk,North Norfolk,618200,342500,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,Bittern Line,12634,11918,1634,26186,27804,,,,,
5242,WLD,West St Leonards,South East,Hastings,Hastings and Rye,578878,109033,Southeastern,,,,A.06,Tonbridge - Hastings,South East,,22466,36246,49020,107732,115534,,,,,
5293,WSU,West Sutton,London,Sutton (London),Sutton and Cheam,525045,164505,Govia Thameslink Railway,,,London Travelcard Area Station,B.08,South Central Sutton Lines,South East,,112028,93782,142204,348014,371270,,,,,
5054,WWI,West Wickham,London,Bromley (London),Beckenham,538276,166565,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,281668,246540,411580,939788,943430,,,,,
5278,WWO,West Worthing,South East,Worthing,Worthing West,513300,103320,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,94214,275916,250606,620736,773282,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
7476,WCF,Westcliff,East,Southend-on-Sea,Rochford and Southend East,586756,185481,c2c,,,,F.01,Fenchurch Street - Shoeburyness,Anglia,,405616,337212,516972,1259800,1175528,,,,,
5151,WCB,Westcombe Park,London,Greenwich (London),Greenwich and Woolwich,540245,178070,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,222892,197758,365358,786008,979032,,1,,London Bridge works,http://www.thameslinkprogramme.co.uk/key-dates-and-service-changes
5030,WHA,Westenhanger,South East,Shepway,Folkestone and Hythe,612825,137240,Southeastern,,,,A.14,Tonbridge - Continental Jcn,South East,,10532,19672,33828,64032,66508,,,,,
7226,WFI,Westerfield,East,Suffolk Coastal,Central Suffolk and North Ipswich,617025,247243,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,3976,4330,1274,9580,8538,3181.0784,,,,
5195,WGA,Westgate-On-Sea,South East,Thanet,North Thanet,632400,170000,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,28182,50286,71582,150050,157802,,,,,
5577,WYB,Weybridge,South East,Elmbridge,Runnymede and Weybridge,507473,163651,South West Trains,,,,C.01,Waterloo - Woking,Wessex,,851270,618472,1003012,2472754,2510252,688162.9783,,,,
5527,WCH,Whitchurch (Hampshire),South East,Basingstoke and Deane,North West Hampshire,446330,148915,South West Trains,,,,C.14,Basingstoke - Salisbury,Wessex,,45314,72720,167112,285146,291280,,,,,
